,bea_code,category,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
806,DFSARY2,Food services and accommodations - DFSARY2,2009_Q2,-0.09,-0.1,0.1,0.1,-0.01,0.01,0.01,20.0,2009,4,2009-04-01
807,DFSARY2,Food services and accommodations - DFSARY2,2009_Q3,0.01,-0.09,0.09,0.09,-0.1,0.1,0.1,20.0,2009,7,2009-07-01
808,DFSARY2,Food services and accommodations - DFSARY2,2009_Q4,-0.03,-0.04,0.04,0.04,-0.01,0.01,0.01,20.0,2009,10,2009-10-01
809,DFSARY2,Food services and accommodations - DFSARY2,2010_Q1,0.34,0.26,0.26,0.26,-0.08,0.08,0.08,20.0,2010,1,2010-01-01
810,DFSARY2,Food services and accommodations - DFSARY2,2010_Q2,0.11,0.11,0.11,0.11,0.0,0.0,0.0,20.0,2010,4,2010-04-01
811,DFSARY2,Food services and accommodations - DFSARY2,2010_Q3,0.15,0.12,0.12,0.12,-0.03,0.03,0.03,20.0,2010,7,2010-07-01
812,DFSARY2,Food services and accommodations - DFSARY2,2010_Q4,0.17,0.12,0.12,0.12,-0.05,0.05,0.05,20.0,2010,10,2010-10-01
813,DFSARY2,Food services and accommodations - DFSARY2,2011_Q1,0.27,0.26,0.26,0.26,-0.01,0.01,0.01,20.0,2011,1,2011-01-01
814,DFSARY2,Food services and accommodations - DFSARY2,2011_Q2,0.0,0.05,0.05,0.05,0.05,0.05,0.05,20.0,2011,4,2011-04-01
815,DFSARY2,Food services and accommodations - DFSARY2,2011_Q3,0.11,0.12,0.12,0.12,0.01,0.01,0.01,20.0,2011,7,2011-07-01
816,DFSARY2,Food services and accommodations - DFSARY2,2011_Q4,0.28,0.25,0.25,0.25,-0.03,0.03,0.03,20.0,2011,10,2011-10-01
817,DFSARY2,Food services and accommodations - DFSARY2,2012_Q1,0.2,0.23,0.23,0.23,0.03,0.03,0.03,20.0,2012,1,2012-01-01
818,DFSARY2,Food services and accommodations - DFSARY2,2012_Q2,0.04,0.05,0.05,0.05,0.01,0.01,0.01,20.0,2012,4,2012-04-01
819,DFSARY2,Food services and accommodations - DFSARY2,2012_Q3,0.04,0.06,0.06,0.06,0.02,0.02,0.02,20.0,2012,7,2012-07-01
820,DFSARY2,Food services and accommodations - DFSARY2,2012_Q4,0.33,0.35,0.35,0.35,0.02,0.02,0.02,20.0,2012,10,2012-10-01
821,DFSARY2,Food services and accommodations - DFSARY2,2013_Q1,0.12,0.12,0.12,0.12,0.0,0.0,0.0,20.0,2013,1,2013-01-01
822,DFSARY2,Food services and accommodations - DFSARY2,2013_Q2,-0.01,0.03,0.03,0.03,0.04,0.04,0.04,20.0,2013,4,2013-04-01
823,DFSARY2,Food services and accommodations - DFSARY2,2013_Q3,0.03,0.02,0.02,0.02,-0.01,0.01,0.01,20.0,2013,7,2013-07-01
824,DFSARY2,Food services and accommodations - DFSARY2,2013_Q4,0.43,0.32,0.32,0.32,-0.11,0.11,0.11,20.0,2013,10,2013-10-01
825,DFSARY2,Food services and accommodations - DFSARY2,2014_Q1,-0.11,-0.07,0.07,0.07,0.04,0.04,0.04,20.0,2014,1,2014-01-01
826,DFSARY2,Food services and accommodations - DFSARY2,2014_Q2,0.17,0.22,0.22,0.22,0.05,0.05,0.05,20.0,2014,4,2014-04-01
827,DFSARY2,Food services and accommodations - DFSARY2,2014_Q3,0.17,0.21,0.21,0.21,0.04,0.04,0.04,20.0,2014,7,2014-07-01
828,DFSARY2,Food services and accommodations - DFSARY2,2014_Q4,0.25,0.3,0.3,0.3,0.05,0.05,0.05,20.0,2014,10,2014-10-01
829,DFSARY2,Food services and accommodations - DFSARY2,2015_Q1,0.07,0.1,0.1,0.1,0.03,0.03,0.03,20.0,2015,1,2015-01-01
830,DFSARY2,Food services and accommodations - DFSARY2,2015_Q2,0.29,0.31,0.31,0.31,0.02,0.02,0.02,20.0,2015,4,2015-04-01
831,DFSARY2,Food services and accommodations - DFSARY2,2015_Q3,0.11,0.08,0.08,0.08,-0.03,0.03,0.03,20.0,2015,7,2015-07-01
832,DFSARY2,Food services and accommodations - DFSARY2,2015_Q4,0.18,0.19,0.19,0.19,0.01,0.01,0.01,20.0,2015,10,2015-10-01
