,bea_code,category,date,ADVANCE,THIRD,abs_third_simple,abs_third,third_less_adv,abs_third_less_adv_simple,abs_third_less_adv,line,year,month,date_t
2294,DREQRY2,Recreational goods and vehicles - DREQRY2,2009_Q2,-0.09,-0.11,0.11,0.11,-0.02,0.02,0.02,7.0,2009,4,2009-04-01
2295,DREQRY2,Recreational goods and vehicles - DREQRY2,2009_Q3,0.29,0.37,0.37,0.37,0.08,0.08,0.08,7.0,2009,7,2009-07-01
2296,DREQRY2,Recreational goods and vehicles - DREQRY2,2009_Q4,0.33,0.35,0.35,0.35,0.02,0.02,0.02,7.0,2009,10,2009-10-01
2297,DREQRY2,Recreational goods and vehicles - DREQRY2,2010_Q1,0.32,0.3,0.3,0.3,-0.02,0.02,0.02,7.0,2010,1,2010-01-01
2298,DREQRY2,Recreational goods and vehicles - DREQRY2,2010_Q2,0.17,0.2,0.2,0.2,0.03,0.03,0.03,7.0,2010,4,2010-04-01
2299,DREQRY2,Recreational goods and vehicles - DREQRY2,2010_Q3,0.27,0.26,0.26,0.26,-0.01,0.01,0.01,7.0,2010,7,2010-07-01
2300,DREQRY2,Recreational goods and vehicles - DREQRY2,2010_Q4,0.34,0.27,0.27,0.27,-0.07,0.07,0.07,7.0,2010,10,2010-10-01
2301,DREQRY2,Recreational goods and vehicles - DREQRY2,2011_Q1,0.29,0.28,0.28,0.28,-0.01,0.01,0.01,7.0,2011,1,2011-01-01
2302,DREQRY2,Recreational goods and vehicles - DREQRY2,2011_Q2,0.19,0.2,0.2,0.2,0.01,0.01,0.01,7.0,2011,4,2011-04-01
2303,DREQRY2,Recreational goods and vehicles - DREQRY2,2011_Q3,0.26,0.26,0.26,0.26,0.0,0.0,0.0,7.0,2011,7,2011-07-01
2304,DREQRY2,Recreational goods and vehicles - DREQRY2,2011_Q4,0.21,0.27,0.27,0.27,0.06,0.06,0.06,7.0,2011,10,2011-10-01
2305,DREQRY2,Recreational goods and vehicles - DREQRY2,2012_Q1,0.14,0.22,0.22,0.22,0.08,0.08,0.08,7.0,2012,1,2012-01-01
2306,DREQRY2,Recreational goods and vehicles - DREQRY2,2012_Q2,0.13,0.16,0.16,0.16,0.03,0.03,0.03,7.0,2012,4,2012-04-01
2307,DREQRY2,Recreational goods and vehicles - DREQRY2,2012_Q3,0.28,0.25,0.25,0.25,-0.03,0.03,0.03,7.0,2012,7,2012-07-01
2308,DREQRY2,Recreational goods and vehicles - DREQRY2,2012_Q4,0.25,0.25,0.25,0.25,0.0,0.0,0.0,7.0,2012,10,2012-10-01
2309,DREQRY2,Recreational goods and vehicles - DREQRY2,2013_Q1,0.19,0.2,0.2,0.2,0.01,0.01,0.01,7.0,2013,1,2013-01-01
2310,DREQRY2,Recreational goods and vehicles - DREQRY2,2013_Q2,0.24,0.23,0.23,0.23,-0.01,0.01,0.01,7.0,2013,4,2013-04-01
2311,DREQRY2,Recreational goods and vehicles - DREQRY2,2013_Q3,0.23,0.24,0.24,0.24,0.01,0.01,0.01,7.0,2013,7,2013-07-01
2312,DREQRY2,Recreational goods and vehicles - DREQRY2,2013_Q4,0.16,0.07,0.07,0.07,-0.09,0.09,0.09,7.0,2013,10,2013-10-01
2313,DREQRY2,Recreational goods and vehicles - DREQRY2,2014_Q1,0.06,0.03,0.03,0.03,-0.03,0.03,0.03,7.0,2014,1,2014-01-01
2314,DREQRY2,Recreational goods and vehicles - DREQRY2,2014_Q2,0.26,0.26,0.26,0.26,0.0,0.0,0.0,7.0,2014,4,2014-04-01
2315,DREQRY2,Recreational goods and vehicles - DREQRY2,2014_Q3,0.24,0.31,0.31,0.31,0.07,0.07,0.07,7.0,2014,7,2014-07-01
2316,DREQRY2,Recreational goods and vehicles - DREQRY2,2014_Q4,0.2,0.19,0.19,0.19,-0.01,0.01,0.01,7.0,2014,10,2014-10-01
2317,DREQRY2,Recreational goods and vehicles - DREQRY2,2015_Q1,0.08,0.08,0.08,0.08,0.0,0.0,0.0,7.0,2015,1,2015-01-01
2318,DREQRY2,Recreational goods and vehicles - DREQRY2,2015_Q2,0.17,0.17,0.17,0.17,0.0,0.0,0.0,7.0,2015,4,2015-04-01
2319,DREQRY2,Recreational goods and vehicles - DREQRY2,2015_Q3,0.16,0.2,0.2,0.2,0.04,0.04,0.04,7.0,2015,7,2015-07-01
2320,DREQRY2,Recreational goods and vehicles - DREQRY2,2015_Q4,0.24,0.26,0.26,0.26,0.02,0.02,0.02,7.0,2015,10,2015-10-01
